1927/28,Actor -- Leading Role,Emil Jannings
1927/28,Actress -- Leading Role,Janet Gaynor
1928/29,Actor -- Leading Role,Warner Baxter
1928/29,Actress -- Leading Role,Mary Pickford
1929/30,Actor -- Leading Role,George Arliss
1929/30,Actress -- Leading Role,Norma Shearer
1930/31,Actor -- Leading Role,Lionel Barrymore
1930/31,Actress -- Leading Role,Marie Dressler
1931/32,Actor -- Leading Role,Wallace Beery
1931/32,Actor -- Leading Role,Fredric March
1931/32,Actress -- Leading Role,Helen Hayes
1932/33,Actor -- Leading Role,Charles Laughton
1932/33,Actress -- Leading Role,Katharine Hepburn
1934,Actor -- Leading Role,Clark Gable
1934,Actress -- Leading Role,Claudette Colbert
1935,Actor -- Leading Role,Victor McLaglen
1935,Actress -- Leading Role,Bette Davis
1936,Actor -- Leading Role,Paul Muni
1936,Actor -- Supporting Role,Walter Brennan
1936,Actress -- Leading Role,Luise Rainer
1936,Actress -- Supporting Role,Gale Sondergaard
1937,Actor -- Leading Role,Spencer Tracy
1937,Actor -- Supporting Role,Joseph Schildkraut
1937,Actress -- Leading Role,Luise Rainer
1937,Actress -- Supporting Role,Alice Brady
1938,Actor -- Leading Role,Spencer Tracy
1938,Actor -- Supporting Role,Walter Brennan
1938,Actress -- Leading Role,Bette Davis
1938,Actress -- Supporting Role,Fay Bainter
1939,Actor -- Leading Role,Robert Donat
1939,Actor -- Supporting Role,Thomas Mitchell
1939,Actress -- Leading Role,Vivien Leigh
1939,Actress -- Supporting Role,Hattie McDaniel
1940,Actor -- Leading Role,James Stewart
1940,Actor -- Supporting Role,Walter Brennan
1940,Actress -- Leading Role,Ginger Rogers
1940,Actress -- Supporting Role,Jane Darwell
1941,Actor -- Leading Role,Gary Cooper
1941,Actor -- Supporting Role,Donald Crisp
1941,Actress -- Leading Role,Joan Fontaine
1941,Actress -- Supporting Role,Mary Astor
1942,Actor -- Leading Role,James Cagney
1942,Actor -- Supporting Role,Van Heflin
1942,Actress -- Leading Role,Greer Garson
1942,Actress -- Supporting Role,Teresa Wright
1943,Actor -- Leading Role,Paul Lukas
1943,Actor -- Supporting Role,Charles Coburn
1943,Actress -- Leading Role,Jennifer Jones
1943,Actress -- Supporting Role,Katina Paxinou
1944,Actor -- Leading Role,Bing Crosby
1944,Actor -- Supporting Role,Barry Fitzgerald
1944,Actress -- Leading Role,Ingrid Bergman
1944,Actress -- Supporting Role,Ethel Barrymore
1945,Actor -- Leading Role,Ray Milland
1945,Actor -- Supporting Role,James Dunn
1945,Actress -- Leading Role,Joan Crawford
1945,Actress -- Supporting Role,Anne Revere
1946,Actor -- Leading Role,Fredric March
1946,Actor -- Supporting Role,Harold Russell
1946,Actress -- Leading Role,Olivia de Havilland
1946,Actress -- Supporting Role,Anne Baxter
1947,Actor -- Leading Role,Ronald Colman
1947,Actor -- Supporting Role,Edmund Gwenn
1947,Actress -- Leading Role,Loretta Young
1947,Actress -- Supporting Role,Celeste Holm
1948,Actor -- Leading Role,Laurence Olivier
1948,Actor -- Supporting Role,Walter Huston
1948,Actress -- Leading Role,Jane Wyman
1948,Actress -- Supporting Role,Claire Trevor
1949,Actor -- Leading Role,Broderick Crawford
1949,Actor -- Supporting Role,Dean Jagger
1949,Actress -- Leading Role,Olivia de Havilland
1949,Actress -- Supporting Role,Mercedes McCambridge
1950,Actor -- Leading Role,Jose Ferrer
1950,Actor -- Supporting Role,George Sanders
1950,Actress -- Leading Role,Judy Holliday
1950,Actress -- Supporting Role,Josephine Hull
1951,Actor -- Leading Role,Humphrey Bogart
1951,Actor -- Supporting Role,Karl Malden
